Medium,MTU,TrafficLoad,AvgDelay_ms,Jitter_ms,PacketDeliveryRatio_Percent,PacketsSent,PacketsReceived,BufferOverflowDrops,ChannelErrorDrops
Fiber,500,Low,0.1044,0.0006,100.0,4500,4500,0,0
Fiber,500,Medium,0.1054,0.002,100.0,4500,4500,0,0
Fiber,500,High,0.1093,0.0062,100.0,4500,4500,0,0
Fiber,1500,Low,0.113,0.0018,100.0,1500,1500,0,0
Fiber,1500,Medium,0.1158,0.0056,100.0,1500,1500,0,0
Fiber,1500,High,0.1287,0.0195,100.0,1500,1500,0,0
Fiber,9000,Low,0.1771,0.0092,100.0,250,250,0,0
Fiber,9000,Medium,0.1987,0.0403,100.0,250,250,0,0
Fiber,9000,High,0.2663,0.1131,100.0,250,250,0,0
Copper,500,Low,1.0436,0.0062,99.98,4500,4499,0,1
Copper,500,Medium,1.0535,0.0194,99.89,4500,4495,0,5
Copper,500,High,1.095,0.0604,99.98,4500,4499,0,1
Copper,1500,Low,1.1297,0.0175,99.87,1500,1498,0,2
Copper,1500,Medium,1.1605,0.0605,99.8,1500,1497,0,3
Copper,1500,High,1.2966,0.1903,99.93,1500,1499,0,1
Copper,9000,Low,1.8494,0.1065,99.6,250,249,0,1
Copper,9000,Medium,2.095,0.4558,99.2,250,248,0,2
Copper,9000,High,4.5188,2.0348,100.0,250,250,0,0
Wireless,500,Low,5.0802,0.0108,96.24,4500,4331,0,167
Wireless,500,Medium,5.0989,0.036,95.96,4500,4318,0,180
Wireless,500,High,5.1832,0.1117,95.44,4500,4295,0,203
Wireless,1500,Low,5.2396,0.0305,89.67,1500,1345,0,154
Wireless,1500,Medium,5.2988,0.1101,89.6,1500,1344,0,155
Wireless,1500,High,5.5529,0.3505,89.93,1500,1349,0,150
Wireless,9000,Low,7.188,0.4814,52.8,250,132,0,118
Wireless,9000,Medium,8.5561,1.8145,46.8,250,117,0,133
Wireless,9000,High,107.5088,3.2414,32.0,250,80,51,117
